100000,1,"ACTIVO",0
110000,1.1,"ACTIVO CIRCULANTE",100000
110100,01/01/2001,"CAJA",110000
110101,"1.1.01.01","CAJA GENERAL",110100
110102,"1.1.01.03","CAJA BONOS DESPENSA",110100
110103,"1.1.01.04","CAJA BONOS GASOLINA",110100
110104,"1.1.01.13","CAJA GENERAL OFTALMOLOGMA",110100
110105,"1.1.01.23","CAJA DOLARES",110100
110106,"1.1.01.24","CAJA DOLARES CONTROL",110100
110200,"0.1.01","fondo_caja_chica",110000
110201,"1.1.01.02","CAJA CHICA",110200
110202,"1.1.01.06","CAJA CHICA AGUA PURIFICADA",110200
110203,"1.1.01.07","CAJA CHICA CORREO",110200
110204,"1.1.01.08","CAJA CHICA MANTENIMIENTO",110200
110205,"1.1.01.09","CAJA CHICA CAFETERMA HUM",110200
110206,"1.1.01.10","CAJA CHICA FINCA",110200
110207,"1.1.01.11","CAJA CHICA AUTOBUSES UM",110200
110208,"1.1.01.14","CAJA CHICA OFTALMOLOGMA",110200
110209,"1.1.01.15","CAJA CHICA COMEDOR UM",110200
110210,"1.1.01.18","CAJA CHICA CSC  HLC",110200
110211,"1.1.01.19","CAJA CHICA ENFERMERIA",110200
110212,"1.1.01.20","CAJA CHICA LABORATORIO",110200
110213,"1.1.01.21","CAJA CHICA VIDA SANA",110200
110300,"0.1.02","fondo_oportundiades",110000
110301,"1.1.01.05","FONDO FIJO DE CAJA",110300
110302,"1.1.01.12","FONDO FIJO PROVEEDURIA",110300
110303,"1.1.01.16","FDO. FIJO CAJA CAFETERIA HUM",110300
110304,"1.1.01.17","FDO. FIJO CAJA SNACK",110300
110305,"1.1.01.22","FDO FIJO DE CAJA AGUA PURIFICADA",110300
110400,01/01/2002,"BANCOS",110000
110401,"1.1.02.01","BANORTE 061-01511-6",110400
110402,"1.1.02.02","BANORTE 10-302023-9 DLLS",110400
110403,"1.1.02.03","BANORTE 10-302023-9 DLLS. CONTROL",110400
110404,"1.1.02.04","BANORTE 100-47708-4",110400
110405,"1.1.02.05","BANORTE 061-01368-7 GUARD.",110400
110406,"1.1.02.06","BANORTE DLLS.103-02027-1 TAYLOR",110400
110407,"1.1.02.07","BANORTE DLLS.103-02027-1 CONTROL",110400
110408,"1.1.02.08","BANORTE 015485 MODUMART",110400
110409,"1.1.02.09","BANORTE 015515 LIB. UNIV.",110400
110410,"1.1.02.10","BANORTE 110-04835-1 SUPERBOM",110400
110411,"1.1.02.11","BANORTE 061-01583-3 SERVICUM",110400
110412,"1.1.02.12","BANORTE 061-01150-1 HUM",110400
110413,"1.1.02.13","BANORTE 061-01309-1 OFTALMO.",110400
110414,"1.1.02.14","BANORTE 061-02062-4 HLC",110400
110415,"1.1.02.15","BANAMEX 554-100820-0",110400
110416,"1.1.02.16","BANAMEX 528570 CTA. CONCENTRADORA",110400
110417,"1.1.02.17","BANAMEX 102245-9 MAE BAXTER",110400
110418,"1.1.02.18","BANAMEX 101911-3 SERVICUM",110400
110419,"1.1.02.19","BANAMEX 102001-4 UMART",110400
110420,"1.1.02.20","BANAMEX 7503288789 LOGOS",110400
110421,"1.1.02.21","BANAMEX 7504528696 NASDAD",110400
110422,"1.1.02.22","BANAMEX 767005-3 UNILAB",110400
110423,"1.1.02.23","BANAMEX 100000-5 UNIMARKET",110400
110424,"1.1.02.24","BANAMEX 1025725 COLP. ESTUD.",110400
110425,"1.1.02.25","BANAMEX 9001434 DLLS. SERVICUM",110400
110426,"1.1.02.26","BANAMEX 9001434 CONTROL SERV.",110400
110427,"1.1.02.27","BANAMEX 9001442 DLLS. LOGOS",110400
110428,"1.1.02.28","BANAMEX 9001442 CONTROL",110400
110429,"1.1.02.29","BANAMEX 7671904 CONSERVATORIO",110400
110430,"1.1.02.30","BANAMEX 7514197 DLLS. COLPTS.",110400
110431,"1.1.02.31","BANAMEX 7514197 CONTROL COLPS.",110400
110432,"1.1.02.32","BANAMEX 75161446669 TUBOMART",110400
110433,"1.1.02.33","BANAMEX 102002-2 HUM",110400
110434,"1.1.02.34","BANAMEX 101902-4 H",110400
110435,"1.1.02.35","BANAMEX 102034-0 H",110400
